Review ID,Station,Parameter,Gap Class,Start,End,Hours,Method,Automated QC Reason,Review Jump,Screening Limit,Severity Ratio,Decision,Review Basis,Max-Jump Wind Speed,Donor Correlation,Reviewer,Review Date,Observed Low-Wind P99,Batch
39,WC05,RH,verylong,2019-01-15 07:00:00,2019-02-17 11:00:00,797,donor_regression,internal_hourly_jump,31.727406181626996,30.0,1.0575802060542332,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.982).,,0.9819144730267062,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
40,CB06,RH,medium,2023-01-03 17:00:00,2023-01-05 07:00:00,39,xgboost,internal_hourly_jump,31.68796157836914,30.0,1.056265385945638,accepted_with_caveat,XGBoost follows the regional timing but has a positive station offset; retain with model-selection caveat.,,0.8772515704974813,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
41,FD03,RH,medium,2021-02-04 11:00:00,2021-02-06 01:00:00,39,xgboost,internal_hourly_jump,31.64257049560547,30.0,1.0547523498535156,accepted_for_current_pipeline,"Model fill is bounded, connects the observed edges, and has a plausible RH cycle (donor r=0.932).",,0.9318735352521036,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
42,WC05,Wind direction,short,2024-02-17 22:00:00,2024-02-18 07:00:00,10,random_forest,internal_hourly_jump,126.38608913548018,120.0,1.0532174094623348,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.91 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.912532091140747,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
43,FD02,RH,verylong,2015-08-16 02:00:00,2016-01-29 08:00:00,3991,donor_regression,internal_hourly_jump,31.477463230689104,30.0,1.0492487743563037,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.998).,,0.9976457563074612,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
44,WC05,Wind direction,short,2024-01-24 05:00:00,2024-01-24 07:00:00,3,random_forest,internal_hourly_jump,125.00104252594224,120.0,1.041675354382852,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.40 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.3981196880340576,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
45,FD03,Tair,verylong,2024-12-29 01:00:00,2025-02-18 16:00:00,1240,donor_regression,internal_hourly_jump,8.331858884589762,8.0,1.0414823605737202,accepted_for_current_pipeline,Donor fill preserves the temperature cycle and tracks the network after Tair sensor-QC repair (r=0.995).,,0.9953543801853204,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
46,CB04,RH,medium,2022-06-04 09:00:00,2022-06-08 08:00:00,96,xgboost,internal_hourly_jump,30.94854736328125,30.0,1.0316182454427083,accepted_with_caveat,XGBoost preserves timing and boundaries but dampens the donor diurnal amplitude; retain with model-selection caveat.,,0.9578255228991822,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
47,CB06,RH,short,2022-03-09 09:00:00,2022-03-09 09:00:00,1,linear,boundary_jump,30.70000000000001,30.0,1.0233333333333337,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
48,WC05,Wind direction,short,2018-04-27 19:00:00,2018-04-28 07:00:00,13,random_forest,internal_hourly_jump,122.32488735512288,120.0,1.0193740612926907,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.29 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.2906873226165771,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
49,FD03,Tair,verylong,2021-02-12 05:00:00,2022-07-12 12:00:00,12368,donor_regression,internal_hourly_jump,8.116573099665853,8.0,1.0145716374582316,accepted_for_current_pipeline,Donor fill preserves the temperature cycle and tracks the network after Tair sensor-QC repair (r=0.999).,,0.9991464909453784,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
50,WC05,RH,verylong,2019-11-02 18:00:00,2019-12-03 13:00:00,740,donor_regression,internal_hourly_jump,30.109458216075105,30.0,1.0036486072025037,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.994).,,0.9941403624111866,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
